#;Magyar név;Latin név;Érték;Év
1;álarcos réce;Anas americana;25000;2001
2;alka;Alca torda;25000;1954
3;amerikai pettyeslile;Pluvialis dominicus;25000;2001
4;amuri vércse;Falco amurensis;25000;2001
5;apácahantmadár;Oenanthe pleschanka;25000;1954
6;apácalúd;Branta leucopsis;25000;1971
7;apró partfutó;Calidris minuta;25000;1954
8;aranylile;Pluvialis apricaria;25000;1901
9;ázsiai pettyeslile;Pluvialis fulva;25000;2001
10;Baird-partfutó;Calidris bairdii;25000;2001
11;bajszos poszáta;Sylvia cantillans;25000;2012
12;bajszos sármány;Emberiza cia;100000;1901
13;bakcsó;Nycticorax nycticorax;100000;1954
14;balkáni fakopáncs;Dendrocopos syriacus;25000;1954
15;barátcinege;Parus palustris (Poecile palustris);25000;1901
16;barátkeselyű;Aegypius monachus;250000;1954
17;barátposzáta;Sylvia atricapilla;25000;1901
18;barátréce;Aythya ferina;50000;2008
19;barázdabillegető;Motacilla alba;25000;1901
20;barkóscinege;Panurus biarmicus;50000;1901
21;barna füzike;Phylloscopus fuscatus;25000;2001
22;barna kánya;Milvus migrans;500000;1971
23;barna rétihéja;Circus aeruginosus;50000;1971
24;barnahasú pusztaityúk;Pterocles exustus;25000;1954
25;batla;Plegadis falcinellus;500000;1912
26;békászó sas;Aquila pomarina (Clanga pomarina);1000000;1954
27;berki nádiposzáta;Acrocephalus dumetorum;25000;2001
28;berki poszáta;Cettia cetti;25000;2001
29;berki tücsökmadár;Locustella fluviatilis;50000;1901
30;berki veréb;Passer hispaniolensis;25000;2001
31;bíbic;Vanellus vanellus;50000;1901
32;billegetőcankó;Actitis hypoleucos;50000;1954
33;böjti réce;Anas querquedula (Spatula querquedula);100000;2008
34;bölömbika;Botaurus stellaris;100000;1954
35;Bonaparte-partfutó;Calidris fuscicollis;25000;2001
36;Bonelli-füzike;Phylloscopus bonelli;25000;1993
37;borzas gödény;Pelecanus crispus;500000;1954
38;búbos cinege;Parus cristatus (Lophophanes cristatus);25000;1901
39;búbos pacsirta;Galerida cristata;50000;1901
40;búbos réce;Aythya affinis;25000;2001
41;búbos vöcsök;Podiceps cristatus;50000;1954
42;búbosbanka;Upupa epops;50000;1901
43;bütykös ásólúd;Tadorna tadorna;50000;1971
44;bütykös hattyú;Cygnus olor;25000;1954
45;cankópartfutó;Tryngites subruficollis (Calidris subruficollis);50000;1996
46;cifra pehelyréce;Somateria spectabilis;25000;1971
47;cigánycsuk;Saxicola torquatus;25000;1901
48;cigányréce;Aythya nyroca;500000;1971
49;citrombillegető;Motacilla citreola;25000;1993
50;citromsármány;Emberiza citrinella;25000;1901
51;császármadár;Tetrastes bonasia (Bonasa bonasia);500000;1954
